slot_code,target_type,source_type,source_id,title,image_url,category_name,author_name,narrator_name,jump_url,sort_no,source
LR_SLOT_HOME_每日推荐,album,book,28893944,重生八一渔猎西北|赶海|年代|种田|都市重生爽文|多人精品有声剧,https://bookpic.lrts.me/2QbCsfNYShGq8pLHzw5YxrLTOFD1AYZE-1-28893944_112x150.png,都市传说,羁中马,游美有声都市精品有声书,https://www.lrts.me/book/28893944,1,lrts
LR_SLOT_HOME_每日推荐,album,book,94326793,道士不好惹|古井观传奇|全新重制多人版|风水玄学|骨头演播,https://bookpic.lrts.me/wf5zrq5UvwKVUQQ9Kxg3MjIFhQybM16R-1-94326793_112x150.png,悬疑推理,困的睡不着,萌鹿剧场,https://www.lrts.me/book/94326793,2,lrts
LR_SLOT_HOME_每日推荐,album,book,44494985,单田芳：白眉大侠|320回,https://bookpic.lrts.me/vqhyw2myikwer1uwe3nove2m9s781ae1_112x150.png,单田芳,单田芳,主播单田芳,https://www.lrts.me/book/44494985,3,lrts
LR_SLOT_HOME_每日推荐,album,book,94948069,农家小福女|多人有声剧|大神种田文巅峰之作|家长里短|温馨搞笑,https://bookpic.lrts.me/02W0IY8Jonz7mJ4ze7pBGnLJnrBn4Xcb-1-94948069_112x150.png,穿越架空,郁雨竹,娴侃侃,https://www.lrts.me/book/94948069,4,lrts
LR_SLOT_HOME_每日推荐,album,book,46633675,九天帝尊|龙腾九天|魂武双修|逆袭打脸|废柴崛起|热血争霸,https://bookpic.lrts.me/yyXcZhnDSdWipWNYX1arVxApZTxdpr78-1-46633675_112x150.png,玄幻奇幻,佚名,清风有声书,https://www.lrts.me/book/46633675,5,lrts
LR_SLOT_HOME_每日推荐,album,book,40536306,单田芳：童林传|250回,https://bookpic.lrts.me/bvq1e2rjXc0eX3ii5rd7iXkXgi1e5mXb_112x150.png,单田芳,单田芳,主播单田芳,https://www.lrts.me/book/40536306,6,lrts
LR_SLOT_HOME_每日推荐,album,book,89162581,重回小渔村|赶海|年代文|都市重生爽文|种田|多人精品有声剧,https://bookpic.lrts.me/EcFmukjNjRK3qXWnHWIoRelY1nsugXDy-1-89162581_112x150.png,都市传说,米饭的米,游美有声都市精品有声书,https://www.lrts.me/book/89162581,7,lrts
LR_SLOT_HOME_每日推荐,album,book,58300278,北派盗墓笔记|周建龙演播|全网霸榜|写实盗墓文| 灵异探险|作者云峰,https://bookpic.lrts.me/1dG1x8A9dfn6I4RlEDXSYHHbkpaXwAT2-1-58300278_112x150.png,悬疑推理,云峰,周建龙本尊,https://www.lrts.me/book/58300278,8,lrts
LR_SLOT_HOME_热门节目,album,album,766856,菏泽树哥 郭有才合集,https://bookpic.lrts.me/jb41tmvj2uwiotk5hedhebj5izwi2tsm.png,脱口秀,月亮,月亮,https://www.lrts.me/album/766856,1,lrts
LR_SLOT_HOME_热门节目,album,album,722258,国际杂谈|静思有我|国际杂谈|军迷必听|行业大V,https://bookpic.lrts.me/ta3ti9qqtfp1w6f8hzslglpvopjfvjce.png,头条,静思有我,静思有我,https://www.lrts.me/album/722258,2,lrts
LR_SLOT_HOME_热门节目,album,album,721993,8090网络流行歌曲-(TME-SAME)-1001051017,https://bookpic.lrts.me/m0oazdhugvek6euotXmsiohyhh5v7g1u.png,音乐,西门不吹雪,西门不吹雪,https://www.lrts.me/album/721993,3,lrts
LR_SLOT_HOME_热门节目,album,album,722259,国际时政|百万大V解读|静思有我|军迷必听,https://bookpic.lrts.me/vph2qf0qqwcdyz7pz2jpmdymel89nei8.png,头条,静思有我,静思有我,https://www.lrts.me/album/722259,4,lrts
LR_SLOT_HOME_热门节目,album,album,722208,大案纪实：500个特大血案|中国大案|连环S人,https://bookpic.lrts.me/24bduq94415f52nz9clik5qh0qnyt6ne.png,头条,老六故事汇,老六故事汇,https://www.lrts.me/album/722208,5,lrts
LR_SLOT_HOME_热门节目,album,album,722169,沙雕故事棍子和阿雯,https://bookpic.lrts.me/6bjjfXsyldgqek00z0qnop4b2su74y8g.png,脱口秀,枷锁,枷锁,https://www.lrts.me/album/722169,6,lrts
LR_SLOT_HOME_热门节目,album,album,722161,风水知识一千讲|教你趋吉避凶,https://bookpic.lrts.me/7793mjo5a20lsip5olvh3z1ycmpoqq05.png,名著解读,易经研习社,易经研习社,https://www.lrts.me/album/722161,7,lrts
LR_SLOT_HOME_热门节目,album,album,722264,静思有我,https://bookpic.lrts.me/fddcXclfw1fmy919kcX2fhtr8nyuchsq.png,头条,静思有我,静思有我,https://www.lrts.me/album/722264,8,lrts
LR_SLOT_HOME_主播推荐,narrator,user,49026504,卿语,https://headpic.lrts.me/1143497581@qq.com_14461?imageMogr2/thumbnail/180x180&sign=ffe084f544598a23f1ac4b3f3e21d4a6&t=6a389b4e,,,卿语,https://www.lrts.me/user/49026504,1,lrts
LR_SLOT_HOME_主播推荐,narrator,user,53873005,乐听电波,https://headpic.lrts.me/9iradio@sina.com?imageMogr2/thumbnail/180x180&sign=1f9ac91adf67102431cd7fd4fe5145a9&t=6a389b4e,,,乐听电波,https://www.lrts.me/user/53873005,2,lrts
